Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot35,"OkaMoez",15,Completed,"Database - Part 1","Item IDEA cargo manifests","1","04:01:36","04:04:00",
Bot35,"OkaMoez",15,Completed,"Database - Part 1","Item Goshan cargo manifests","1","04:04:06","04:05:04",
Bot35,"OkaMoez",15,Completed,"Database - Part 1","Item OLI cargo manifests","1","04:05:09","04:07:08",
Bot35,"OkaMoez",15,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #1","1","04:07:13","04:07:39",
Bot35,"OkaMoez",15,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #3","1","04:07:44","04:07:55",
Bot35,"OkaMoez",15,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #5","1","04:08:00","04:08:16",
Bot35,"OkaMoez",15,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #2","1","04:08:21","04:08:39",
Bot35,"OkaMoez",15,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #4","1","04:08:44","04:09:08",
Bot35,"OkaMoez",15,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #6","1","04:09:13","04:09:47",
Bot35,"OkaMoez",15,Active,"Big Sale","Zone place_SALE_03_TOPBRAND","1","04:09:52","N/A",
Bot46,"Dueleus",13,Completed,"Power Station West Shack","Power Station West Shack: Objective #1","1","04:02:15","04:03:43",
Bot46,"Dueleus",13,Completed,"East Wall Container","East Wall Container: Objective #1","1","04:03:48","04:05:46",
Bot46,"Dueleus",13,Completed,"Emercom Extract North Entry","Emercom Extract North Entry: Objective #2","1","04:05:51","04:16:20",
Bot49,"Crackbone",15,Pending,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","04:02:15","N/A",
Bot48,"Stealthsuit",5,Completed,"IDEA Office","IDEA Office: Objective #3","1","04:02:15","04:02:30",
Bot47,"RaiRaiTheRaichu",17,Pending,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","04:02:16","N/A",
