Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot231,"Skeeze",15,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_check_2","1","03:10:23","03:10:34",
Bot231,"Skeeze",15,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_2","1","03:10:39","03:10:44",
Bot231,"Skeeze",15,Failed,"Revision - Reserve","Zone tadeush_t90_area_check_1","1","03:10:49","03:11:03",
Bot234,"Zurugula",2,Pending,"White King","White King: Objective #2","1","03:10:51","N/A",
Bot234,"Zurugula",2,Completed,"White King","White King: Objective #15","1","03:19:34","03:19:35",
Bot234,"Zurugula",2,Completed,"White King","White King: Objective #14","1","03:19:40","03:20:03",
Bot234,"Zurugula",2,Completed,"White King","White King: Objective #9","1","03:20:08","03:20:14",
Bot234,"Zurugula",2,Completed,"White King","White King: Objective #10","1","03:20:19","03:20:22",
Bot234,"Zurugula",2,Active,"White King","White King: Objective #4","1","03:20:27","N/A",
Bot233,"Skeeze",40,Completed,"NW Bunkers","NW Bunkers: Objective #1","1","03:10:53","03:10:57",
Bot233,"Skeeze",40,Completed,"NW Bunkers","NW Bunkers: Objective #2","1","03:11:03","03:11:43",
Bot233,"Skeeze",40,Pending,"NW Bunkers","NW Bunkers: Objective #3","1","03:11:48","N/A",
Bot235,"Basuro",68,Failed,"Helicopter Platform Crawl Space","Helicopter Platform Crawl Space: Objective #1","1","03:10:54","03:18:03",
Bot255,"Bnuy",41,Failed,"Snatch","Zone tadeush_bmp2_area_mark_12","1","03:15:51","03:21:20",
Bot254,"archon0ne",54,Completed,"Hermetic Alarm Patrol","Hermetic Alarm Patrol: Objective #3","2","03:16:06","03:17:47",
Bot254,"archon0ne",54,Completed,"Hermetic Alarm Patrol","Hermetic Alarm Patrol: Objective #2","2","03:17:52","03:20:21",
Bot254,"archon0ne",54,Pending,"Hermetic Alarm Patrol","Hermetic Alarm Patrol: Objective #1","1","03:20:26","N/A",
Bot254,"archon0ne",54,Pending,"White Bishop","White Bishop: Objective #3","1","03:22:48","N/A",
Bot254,"archon0ne",54,Pending,"White Bishop","White Bishop: Objective #7","1","03:23:26","N/A",
Bot254,"archon0ne",54,Completed,"White Bishop","White Bishop: Objective #2","1","03:23:52","03:24:12",
Bot254,"archon0ne",54,Completed,"White Bishop","White Bishop: Objective #6","1","03:24:17","03:24:17",
Bot254,"archon0ne",54,Completed,"White Bishop","White Bishop: Objective #5","1","03:24:22","03:24:30",
Bot254,"archon0ne",54,Completed,"White Bishop","White Bishop: Objective #8","1","03:24:35","03:26:13",
Bot254,"archon0ne",54,Completed,"White Bishop","White Bishop: Objective #9","1","03:26:18","03:26:18",
Bot254,"archon0ne",54,Completed,"White Bishop","White Bishop: Objective #1","1","03:26:23","03:26:23",
Bot254,"archon0ne",54,Completed,"White Bishop","White Bishop: Objective #4","1","03:26:28","03:26:28",
Bot254,"archon0ne",54,Failed,"Command Center","Command Center: Objective #1","1","03:26:34","03:26:34",
Bot254,"archon0ne",54,Failed,"Command Center","Command Center: Objective #5","1","03:26:41","03:26:41",
Bot254,"archon0ne",54,Failed,"Command Center","Command Center: Objective #4","1","03:26:46","03:26:46",
Bot254,"archon0ne",54,Failed,"Command Center","Command Center: Objective #2","1","03:26:51","03:26:51",
Bot254,"archon0ne",54,Failed,"Command Center","Command Center: Objective #7","1","03:26:56","03:26:56",
Bot254,"archon0ne",54,Failed,"Command Center","Command Center: Objective #8","1","03:27:01","03:27:01",
Bot254,"archon0ne",54,Failed,"Command Center","Command Center: Objective #6","1","03:27:07","03:27:07",
Bot254,"archon0ne",54,Failed,"Command Center","Command Center: Objective #3","1","03:27:12","03:27:12",
Bot259,"Styrr",19,Completed,"The Bunker - Part 1","Zone prapor_024_area_1","1","03:16:43","03:19:29",
Bot259,"Styrr",19,Active,"The Bunker - Part 1","Zone prapor_024_area_2","1","03:19:34","N/A",
Bot266,"MrSarkasm",67,Failed,"Snatch","Zone tadeush_bmp2_area_mark_12","2","03:21:14","03:27:13",
Bot266,"MrSarkasm",67,Completed,"Knight Garages","Knight Garages: Objective #1","1","03:22:27","03:22:39",
Bot266,"MrSarkasm",67,Completed,"Knight Garages","Knight Garages: Objective #2","1","03:22:44","03:23:16",
Bot266,"MrSarkasm",67,Completed,"Snatch","Item Lightkeeper intelligence","1","03:23:21","03:24:17",
Bot266,"MrSarkasm",67,Failed,"Sewer Manhole Building","Sewer Manhole Building: Objective #2","1","03:24:22","03:27:13",
Bot272,"FlashMode",18,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_11","1","03:25:50","03:26:41",
Bot273,"matt",40,Failed,"Snatch","Zone tadeush_bmp2_area_mark_12","2","03:26:29","03:31:03",
Bot273,"matt",40,Completed,"Sewer Manhole Building","Sewer Manhole Building: Objective #2","1","03:27:23","03:27:31",
Bot273,"matt",40,Completed,"Sewer Manhole Building","Sewer Manhole Building: Objective #1","1","03:27:36","03:27:42",
Bot273,"matt",40,Failed,"White Knight","White Knight: Objective #2","2","03:27:47","03:31:03",
Bot273,"matt",40,Failed,"White Knight","White Knight: Objective #3","2","03:29:57","03:31:03",
Bot277,"Эдик Сикель (Platinum)",1,Completed,"White Rook Barracks","White Rook Barracks: Objective #2","1","03:27:18","03:35:35",
Bot277,"Эдик Сикель (Platinum)",1,Completed,"White Rook Barracks","White Rook Barracks: Objective #1","1","03:35:40","03:35:47",
Bot277,"Эдик Сикель (Platinum)",1,Completed,"White Rook Barracks","White Rook Barracks: Objective #3","1","03:35:52","03:36:34",
Bot277,"Эдик Сикель (Platinum)",1,Completed,"White Rook","White Rook: Objective #4","1","03:36:39","03:37:02",
Bot277,"Эдик Сикель (Platinum)",1,Completed,"White Rook","White Rook: Objective #2","1","03:37:07","03:37:24",
Bot277,"Эдик Сикель (Platinum)",1,Completed,"White Rook","White Rook: Objective #3","1","03:37:29","03:38:02",
Bot277,"Эдик Сикель (Platinum)",1,Completed,"White Rook","White Rook: Objective #1","1","03:38:07","03:39:17",
Bot277,"Эдик Сикель (Platinum)",1,Completed,"White Knight Rear Drop-Down","White Knight Rear Drop-Down: Objective #1","1","03:39:22","03:39:53",
Bot277,"Эдик Сикель (Platinum)",1,Completed,"Trenches","Trenches: Objective #2","1","03:39:58","03:40:45",
Bot277,"Эдик Сикель (Platinum)",1,Completed,"Trenches","Trenches: Objective #1","1","03:40:50","03:41:00",
Bot277,"Эдик Сикель (Platinum)",1,Completed,"White Bishop","White Bishop: Objective #3","1","03:41:05","03:41:22",
Bot277,"Эдик Сикель (Platinum)",1,Completed,"White Bishop","White Bishop: Objective #7","1","03:41:27","03:41:43",
Bot277,"Эдик Сикель (Platinum)",1,Active,"White Bishop","White Bishop: Objective #2","1","03:41:48","N/A",
Bot280,"Gleneth",35,Completed,"Command Center","Command Center: Objective #1","1","03:32:13","03:32:22",
Bot280,"Gleneth",35,Completed,"Command Center","Command Center: Objective #4","3","03:32:27","03:38:07",
Bot280,"Gleneth",35,Completed,"White King","White King: Objective #14","1","03:38:12","03:38:39",
Bot280,"Gleneth",35,Completed,"White King","White King: Objective #9","1","03:38:44","03:38:50",
Bot280,"Gleneth",35,Completed,"White King","White King: Objective #10","1","03:38:55","03:39:00",
Bot280,"Gleneth",35,Completed,"White King","White King: Objective #4","1","03:39:05","03:39:33",
Bot280,"Gleneth",35,Completed,"White King","White King: Objective #13","1","03:39:38","03:39:53",
Bot280,"Gleneth",35,Completed,"White King","White King: Objective #7","1","03:39:58","03:40:23",
Bot280,"Gleneth",35,Completed,"White King","White King: Objective #5","1","03:40:28","03:40:54",
Bot280,"Gleneth",35,Completed,"White King","White King: Objective #6","1","03:40:59","03:41:50",
Bot280,"Gleneth",35,Active,"White King","White King: Objective #12","1","03:41:56","N/A",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"White Pawn","White Pawn: Objective #4","1","03:32:22","03:32:36",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"White Pawn","White Pawn: Objective #2","1","03:32:41","03:32:57",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"White Pawn","White Pawn: Objective #3","1","03:33:02","03:33:03",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"White Pawn","White Pawn: Objective #6","1","03:33:09","03:33:11",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"White Pawn","White Pawn: Objective #5","1","03:33:16","03:33:42",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"White Pawn","White Pawn: Objective #1","1","03:33:48","03:34:18",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"Black Pawn","Black Pawn: Objective #5","1","03:34:23","03:34:42",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"Black Pawn","Black Pawn: Objective #6","1","03:34:48","03:35:12",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"Black Pawn","Black Pawn: Objective #1","1","03:35:17","03:35:43",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"Black Pawn","Black Pawn: Objective #2","1","03:35:48","03:35:55",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"Black Pawn","Black Pawn: Objective #7","1","03:36:00","03:36:05",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"Black Pawn","Black Pawn: Objective #10","1","03:36:10","03:36:21",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"Black Pawn","Black Pawn: Objective #4","1","03:36:26","03:36:40",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"Black Pawn","Black Pawn: Objective #9","1","03:36:45","03:37:06",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"Black Pawn","Black Pawn: Objective #3","1","03:37:11","03:37:39",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"Black Pawn","Black Pawn: Objective #8","1","03:37:44","03:37:44",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"Black Pawn","Black Pawn: Objective #11","1","03:37:49","03:38:16",
Bot281,"Пров Хипстер (SlejmUr)",1,Pending,"Command Center","Command Center: Objective #9","1","03:38:21","N/A",
Bot281,"Пров Хипстер (SlejmUr)",1,Failed,"Command Center","Command Center: Objective #8","1","03:39:14","03:39:14",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"Command Center","Command Center: Objective #6","2","03:39:20","03:40:17",
Bot281,"Пров Хипстер (SlejmUr)",1,Completed,"Command Center","Command Center: Objective #7","2","03:40:23","03:41:20",
Bot281,"Пров Хипстер (SlejmUr)",1,Active,"Command Center","Command Center: Objective #5","1","03:41:25","N/A",
