Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot148,"Bnuy",10,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","01:10:57","01:10:58",
Bot148,"Bnuy",10,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","01:11:03","01:11:40",
Bot148,"Bnuy",10,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","01:11:45","01:12:21",
Bot149,"TonioX",66,Completed,"Boss Hunter","Spawn Point (-10.6 24.0 22.9)","1","01:10:58","01:11:25",
Bot149,"TonioX",66,Completed,"Boss Hunter","Spawn Point (26.1 23.9 -24.0)","1","01:11:30","01:11:55",
Bot149,"TonioX",66,Failed,"Boss Hunter","Spawn Point (71.9 14.1 -13.1)","1","01:12:00","01:12:42",
Bot149,"TonioX",66,Failed,"Boss Hunter","Spawn Point (-14.6 23.8 -58.8)","1","01:12:47","01:12:49",
Bot149,"TonioX",66,Failed,"Boss Hunter","Spawn Point (-10.8 24.0 16.7)","1","01:12:54","01:12:54",
Bot149,"TonioX",66,Failed,"Boss Hunter","Spawn Point (-10.5 24.0 19.7)","1","01:12:59","01:12:59",
Bot149,"TonioX",66,Failed,"Boss Hunter","Spawn Point (71.8 14.1 0.7)","1","01:13:04","01:13:04",
Bot149,"TonioX",66,Failed,"Boss Hunter","Spawn Point (73.1 14.2 2.3)","1","01:13:09","01:13:09",
Bot149,"TonioX",66,Failed,"Boss Hunter","Spawn Point (72.8 14.2 5.4)","1","01:13:14","01:13:14",
Bot149,"TonioX",66,Failed,"Boss Hunter","Spawn Point (73.6 14.1 -48.8)","1","01:13:20","01:13:20",
Bot151,"MedDeatH",16,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","01:11:37","01:16:38",
Bot152,"bitwarrior",2,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","01:11:37","01:15:20",
Bot160,"Senko",30,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","01:16:21","01:17:35",
Bot161,"Katto",35,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","01:16:29","01:18:24",
Bot166,"PudgeNubbins",10,Completed,"Capital Insight","Capital Insight: Objective #2","1","01:19:05","01:20:08",
Bot166,"PudgeNubbins",10,Failed,"Capital Insight","Capital Insight: Objective #3","1","01:20:13","01:21:41",
Bot166,"PudgeNubbins",10,Completed,"Capital Insight","Capital Insight: Objective #1","1","01:21:17","01:21:31",
Bot166,"PudgeNubbins",10,Failed,"Capital Insight","Capital Insight: Objective #4","1","01:21:36","01:21:41",
Bot167,"craink",41,Failed,"Capital Insight","Capital Insight: Objective #2","1","01:19:10","01:22:44",
Bot172,"Kiki",36,Failed,"Olive Restaurant","Olive Restaurant: Objective #3","1","01:23:17","01:39:20",
Bot172,"Kiki",36,Failed,"Olive Restaurant","Olive Restaurant: Objective #5","1","01:27:39","01:39:20",
Bot172,"Kiki",36,Completed,"Olive Restaurant","Olive Restaurant: Objective #2","2","01:27:59","01:28:55",
Bot172,"Kiki",36,Completed,"Olive Restaurant","Olive Restaurant: Objective #4","1","01:29:00","01:29:13",
Bot172,"Kiki",36,Failed,"Olive Restaurant","Olive Restaurant: Objective #1","1","01:29:18","01:39:20",
Bot172,"Kiki",36,Completed,"Olive Restaurant","Olive Restaurant: Objective #6","1","01:29:56","01:30:12",
Bot172,"Kiki",36,Failed,"Oasis Sniping","Oasis Sniping: Objective #3","1","01:30:18","01:39:20",
Bot172,"Kiki",36,Failed,"Oasis Sniping","Oasis Sniping: Objective #2","1","01:31:12","01:39:20",
Bot172,"Kiki",36,Failed,"Oasis Sniping","Oasis Sniping: Objective #1","1","01:31:46","01:39:20",
Bot172,"Kiki",36,Completed,"Oasis","Oasis: Objective #2","1","01:32:06","01:32:25",
Bot172,"Kiki",36,Completed,"Oasis","Oasis: Objective #1","1","01:32:30","01:32:48",
Bot172,"Kiki",36,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","01:32:53","01:39:20",
Bot171,"OXIdiezd",24,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","01:23:23","01:23:25",
Bot171,"OXIdiezd",24,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","2","01:23:30","01:24:50",
Bot173,"Таир Джейк (Andrudis)",1,Completed,"TerraGroup Garage","TerraGroup Garage: Objective #2","3","01:25:16","01:27:28",
Bot173,"Таир Джейк (Andrudis)",1,Failed,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","01:27:33","01:28:09",
Bot185,"Glukhar_111",4,Pending,"Kyshperski","Kyshperski: Objective #3","1","01:39:06","N/A",
Bot184,"Pettan",64,Completed,"Underground South","Underground South: Objective #4","1","01:39:11","01:40:31",
Bot184,"Pettan",64,Active,"Underground South","Underground South: Objective #3","1","01:40:36","N/A",
