Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot46,"Styrr",15,Pending,"The Delicious Sausage","Zone quest_produkt1","1","23:20:56","N/A",
Bot47,"Faupi",13,Pending,"Shestyorochka","Shestyorochka: Objective #2","1","23:20:56","N/A",
Bot48,"btdc00",61,Pending,"Finance Building","Finance Building: Objective #1","1","23:20:59","N/A",
Bot45,"PudgeNubbins",37,Completed,"Broadcast - Part 3","Zone quest_zone_c25_cinem2","1","23:21:01","23:21:10",
Bot45,"PudgeNubbins",37,Completed,"The Huntsman Path - Administrator","Zone quest_zone_kill_c17_adm","1","23:21:15","23:22:10",
Bot45,"PudgeNubbins",37,Completed,"Ballet Lover","Zone quest_zone_c5_mar","1","23:22:15","23:24:42",
Bot45,"PudgeNubbins",37,Active,"Glory to CPSU - Part 1","Zone quest_zone_c6_kpss","1","23:24:47","N/A",
Bot49,"PreyToLive",3,Completed,"Lexos Garage","Lexos Garage: Objective #1","1","23:21:17","23:23:36",
Bot49,"PreyToLive",3,Completed,"Lexos Garage","Lexos Garage: Objective #2","1","23:23:41","23:23:44",
Bot49,"PreyToLive",3,Completed,"Lexos Garage","Lexos Garage: Objective #6","1","23:23:49","23:24:10",
Bot49,"PreyToLive",3,Completed,"Lexos Garage","Lexos Garage: Objective #4","1","23:24:15","23:24:39",
Bot49,"PreyToLive",3,Pending,"Lexos Garage","Lexos Garage: Objective #5","1","23:24:44","N/A",
Bot49,"PreyToLive",3,Completed,"Lexos Garage","Lexos Garage: Objective #3","1","23:25:40","23:26:37",
Bot49,"PreyToLive",3,Completed,"Lexos Center","Lexos Center: Objective #4","1","23:26:42","23:26:49",
Bot49,"PreyToLive",3,Completed,"Lexos Center","Lexos Center: Objective #3","1","23:26:54","23:27:00",
Bot49,"PreyToLive",3,Pending,"Lexos Center","Lexos Center: Objective #2","1","23:27:05","N/A",
Bot49,"PreyToLive",3,Pending,"Lexos Center","Lexos Center: Objective #1","1","23:27:34","N/A",
Bot49,"PreyToLive",3,Completed,"Primorsky Courtyard","Primorsky Courtyard: Objective #7","2","23:38:38","23:40:51",
Bot49,"PreyToLive",3,Completed,"Primorsky Courtyard","Primorsky Courtyard: Objective #6","2","23:40:56","23:42:29",
Bot49,"PreyToLive",3,Completed,"Primorsky Courtyard","Primorsky Courtyard: Objective #5","2","23:42:34","23:44:11",
Bot49,"PreyToLive",3,Completed,"Primorsky Courtyard","Primorsky Courtyard: Objective #8","2","23:44:16","23:46:47",
Bot49,"PreyToLive",3,Completed,"Checkannaya 15","Checkannaya 15: Objective #1","1","23:46:53","23:47:13",
Bot49,"PreyToLive",3,Completed,"Checkannaya 15","Checkannaya 15: Objective #2","1","23:47:18","23:47:31",
Bot49,"PreyToLive",3,Completed,"Checkannaya 15","Checkannaya 15: Objective #3","1","23:47:36","23:48:01",
Bot49,"PreyToLive",3,Completed,"Checkannaya 15","Checkannaya 15: Objective #5","1","23:48:06","23:48:21",
Bot49,"PreyToLive",3,Completed,"Checkannaya 15","Checkannaya 15: Objective #4","1","23:48:26","23:48:46",
Bot49,"PreyToLive",3,Completed,"Checkannaya 15","Checkannaya 15: Objective #6","1","23:48:51","23:48:59",
Bot49,"PreyToLive",3,Completed,"Checkannaya 15","Checkannaya 15: Objective #7","1","23:49:04","23:49:12",
Bot49,"PreyToLive",3,Completed,"IT Firm Office","IT Firm Office: Objective #3","1","23:49:17","23:50:10",
Bot49,"PreyToLive",3,Completed,"IT Firm Office","IT Firm Office: Objective #2","1","23:50:15","23:50:15",
Bot49,"PreyToLive",3,Completed,"IT Firm Office","IT Firm Office: Objective #1","1","23:50:20","23:50:24",
Bot49,"PreyToLive",3,Completed,"IT Firm Office","IT Firm Office: Objective #5","1","23:50:29","23:50:30",
Bot49,"PreyToLive",3,Completed,"IT Firm Office","IT Firm Office: Objective #4","1","23:50:35","23:50:44",
Bot49,"PreyToLive",3,Completed,"IT Firm Office","IT Firm Office: Objective #6","1","23:50:49","23:50:59",
Bot49,"PreyToLive",3,Pending,"IT Firm Office","IT Firm Office: Objective #7","1","23:51:04","N/A",
Bot49,"PreyToLive",3,Active,"IT Firm Office","IT Firm Office: Objective #8","1","23:54:25","N/A",
Bot50,"r2go",3,Failed,"IT Firm Office","IT Firm Office: Objective #3","1","23:21:48","23:49:03",
Bot50,"r2go",3,Failed,"IT Firm Office","IT Firm Office: Objective #4","1","23:37:27","23:49:03",
Bot50,"r2go",3,Completed,"IT Firm Office","IT Firm Office: Objective #1","1","23:37:52","23:38:08",
Bot50,"r2go",3,Completed,"IT Firm Office","IT Firm Office: Objective #5","1","23:38:13","23:38:21",
Bot50,"r2go",3,Completed,"IT Firm Office","IT Firm Office: Objective #2","1","23:38:26","23:38:58",
Bot50,"r2go",3,Completed,"IT Firm Office","IT Firm Office: Objective #6","1","23:39:03","23:39:09",
Bot50,"r2go",3,Completed,"IT Firm Office","IT Firm Office: Objective #7","1","23:39:14","23:39:19",
Bot50,"r2go",3,Completed,"IT Firm Office","IT Firm Office: Objective #8","1","23:39:24","23:39:24",
Bot50,"r2go",3,Failed,"IT Firm Office","IT Firm Office: Objective #9","1","23:39:29","23:39:29",
Bot50,"r2go",3,Failed,"Post Office","Post Office: Objective #3","1","23:39:35","23:39:36",
Bot50,"r2go",3,Failed,"Post Office","Post Office: Objective #2","1","23:39:41","23:39:41",
Bot50,"r2go",3,Failed,"Post Office","Post Office: Objective #1","1","23:39:46","23:39:47",
Bot50,"r2go",3,Failed,"Checkannaya 15 Upstairs","Checkannaya 15 Upstairs: Objective #2","1","23:39:52","23:39:52",
Bot50,"r2go",3,Failed,"Checkannaya 15 Upstairs","Checkannaya 15 Upstairs: Objective #3","1","23:39:57","23:39:57",
Bot50,"r2go",3,Failed,"Checkannaya 15 Upstairs","Checkannaya 15 Upstairs: Objective #1","1","23:40:02","23:40:02",
Bot50,"r2go",3,Failed,"Checkannaya 15 Upstairs","Checkannaya 15 Upstairs: Objective #4","1","23:40:07","23:40:08",
Bot51,"Hubert",50,Failed,"Checkannaya 15","Checkannaya 15: Objective #3","1","23:21:48","23:34:29",
Bot51,"Hubert",50,Pending,"Checkannaya 15","Checkannaya 15: Objective #8","1","23:35:46","N/A",
Bot52,"PaPaSamBuBu",61,Failed,"Your Car Needs a Service","Item Secure Flash drive","1","23:21:48","23:40:19",
Bot52,"PaPaSamBuBu",61,Failed,"Checkannaya 15","Checkannaya 15: Objective #2","1","23:40:24","23:40:24",
Bot52,"PaPaSamBuBu",61,Failed,"Checkannaya 15","Checkannaya 15: Objective #7","1","23:40:29","23:40:29",
Bot52,"PaPaSamBuBu",61,Failed,"Checkannaya 15","Checkannaya 15: Objective #5","1","23:40:34","23:40:44",
Bot52,"PaPaSamBuBu",61,Failed,"Checkannaya 15","Checkannaya 15: Objective #6","1","23:40:49","23:40:49",
Bot52,"PaPaSamBuBu",61,Failed,"Checkannaya 15","Checkannaya 15: Objective #8","1","23:40:54","23:41:06",
Bot52,"PaPaSamBuBu",61,Failed,"Checkannaya 15","Checkannaya 15: Objective #1","1","23:41:11","23:41:11",
Bot52,"PaPaSamBuBu",61,Failed,"Checkannaya 15","Checkannaya 15: Objective #3","1","23:41:17","23:41:29",
Bot53,"oroku",42,Completed,"Pyramid Scheme","Zone Bank_points_1","1","23:22:09","23:22:35",
Bot53,"oroku",42,Failed,"Pyramid Scheme","Zone Bank_points_2","1","23:22:40","23:24:20",
Bot53,"oroku",42,Failed,"Pyramid Scheme","Zone Bank_points_15","1","23:23:06","23:24:20",
Bot53,"oroku",42,Failed,"Pyramid Scheme","Zone Bank_points_14","1","23:23:33","23:24:20",
Bot69,"Трифон Кучерявый (Swankyorc)",1,Completed,"Primorsky Locked Apartment","Primorsky Locked Apartment: Objective #1","1","23:41:04","23:41:07",
Bot69,"Трифон Кучерявый (Swankyorc)",1,Completed,"Primorsky Locked Apartment","Primorsky Locked Apartment: Objective #3","1","23:41:12","23:41:20",
Bot69,"Трифон Кучерявый (Swankyorc)",1,Completed,"Primorsky Locked Apartment","Primorsky Locked Apartment: Objective #4","1","23:41:26","23:42:00",
Bot69,"Трифон Кучерявый (Swankyorc)",1,Pending,"Primorsky Locked Apartment","Primorsky Locked Apartment: Objective #2","1","23:42:05","N/A",
Bot69,"Трифон Кучерявый (Swankyorc)",1,Completed,"Golden World","Golden World: Objective #2","1","23:42:43","23:43:02",
Bot69,"Трифон Кучерявый (Swankyorc)",1,Completed,"Golden World","Golden World: Objective #1","1","23:43:07","23:43:17",
Bot69,"Трифон Кучерявый (Swankyorc)",1,Completed,"Building across from Brodian Pub","Building across from Brodian Pub: Objective #1","1","23:43:23","23:44:13",
Bot69,"Трифон Кучерявый (Swankyorc)",1,Completed,"Building across from Brodian Pub","Building across from Brodian Pub: Objective #2","1","23:44:18","23:44:55",
Bot69,"Трифон Кучерявый (Swankyorc)",1,Completed,"IT Firm Office","IT Firm Office: Objective #9","1","23:45:00","23:45:50",
Bot69,"Трифон Кучерявый (Swankyorc)",1,Completed,"IT Firm Office","IT Firm Office: Objective #7","1","23:45:56","23:46:08",
Bot69,"Трифон Кучерявый (Swankyorc)",1,Completed,"IT Firm Office","IT Firm Office: Objective #8","1","23:46:13","23:46:22",
