Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Victor_Two",1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","06:21:15","06:22:41",
Bot1,"Victor_Two",1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","06:22:46","06:23:02",
Bot1,"Victor_Two",1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","06:23:07","06:23:32",
Bot1,"Victor_Two",1,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","06:23:37","06:25:34",
Bot1,"Victor_Two",1,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","06:25:39","06:26:02",
Bot1,"Victor_Two",1,Completed,"Old Sawmill","Old Sawmill: Objective #2","2","06:26:07","06:26:38",
Bot1,"Victor_Two",1,Completed,"Old Sawmill","Old Sawmill: Objective #4","3","06:26:43","06:27:13",
Bot1,"Victor_Two",1,Completed,"Old Sawmill","Old Sawmill: Objective #5","1","06:27:18","06:27:41",
Bot1,"Victor_Two",1,Completed,"VEX Beach","VEX Beach: Objective #1","2","06:27:46","06:29:09",
Bot1,"Victor_Two",1,Completed,"Scav Town","Scav Town: Objective #3","2","06:29:14","06:29:59",
Bot1,"Victor_Two",1,Completed,"Scav Town","Scav Town: Objective #4","2","06:30:04","06:30:30",
Bot1,"Victor_Two",1,Completed,"Scav Town","Scav Town: Objective #1","3","06:30:35","06:31:25",
Bot1,"Victor_Two",1,Completed,"Scav Town","Scav Town: Objective #2","1","06:31:30","06:31:42",
Bot1,"Victor_Two",1,Completed,"Scav Town","Scav Town: Objective #5","3","06:31:48","06:32:37",
Bot1,"Victor_Two",1,Completed,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","06:32:42","06:34:05",
Bot1,"Victor_Two",1,Completed,"Scav Base","Scav Base: Objective #2","4","06:34:10","06:36:47",
Bot1,"Victor_Two",1,Completed,"Scav Base","Scav Base: Objective #3","1","06:36:52","06:36:59",
Bot1,"Victor_Two",1,Completed,"Scav Base","Scav Base: Objective #4","2","06:37:04","06:37:27",
Bot1,"Victor_Two",1,Failed,"Scav Base","Scav Base: Objective #1","3","06:37:32","06:38:13",
Bot9,"aleves",7,Completed,"Introduction","Zone huntsman_001","1","06:22:12","06:23:43",
Bot9,"aleves",7,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","06:23:48","06:25:21",
Bot9,"aleves",7,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","06:25:26","06:52:24",
Bot11,"Waffle",60,Completed,"Scav Base","Scav Base: Objective #4","2","06:22:12","06:40:52",
Bot11,"Waffle",60,Completed,"Scav Base","Scav Base: Objective #1","5","06:40:57","06:41:36",
Bot11,"Waffle",60,Completed,"Scav Base","Scav Base: Objective #3","1","06:41:42","06:41:47",
Bot11,"Waffle",60,Completed,"Scav Base","Scav Base: Objective #2","4","06:41:53","06:42:24",
Bot11,"Waffle",60,Completed,"Sawmill Shack","Sawmill Shack: Objective #1","2","06:42:29","06:45:03",
Bot11,"Waffle",60,Failed,"Sawmill Patrol","Sawmill Patrol: Objective #3","2","06:45:08","06:48:52",
Bot12,"bandit",57,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","06:22:13","06:49:03",
Bot10,"Devraccoon",46,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","06:22:13","06:49:49",
Bot15,"Junko Space Mommy",21,Failed,"Scav Base","Scav Base: Objective #2","1","06:22:17","06:47:55",
Bot13,"Jeo",12,Completed,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","06:22:18","06:22:39",
Bot13,"Jeo",12,Archived,"Spine","Spine: Objective #2","1","06:22:44","06:26:47",
Bot13,"Jeo",12,Archived,"Spine","Spine: Objective #1","1","06:26:52","06:27:28",
Bot13,"Jeo",12,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","06:27:33","06:29:06",
Bot13,"Jeo",12,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","06:29:11","06:29:39",
Bot13,"Jeo",12,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","06:29:44","06:30:25",
Bot13,"Jeo",12,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #3","1","06:30:30","06:34:07",
Bot13,"Jeo",12,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #2","2","06:34:12","06:34:25",
Bot13,"Jeo",12,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #1","2","06:34:30","06:34:45",
Bot13,"Jeo",12,Active,"Scav Base","Scav Base: Objective #2","1","06:34:50","N/A",
Bot14,"Maksim Petrov",20,Completed,"Supply Plans","Item Secure Folder 0052","1","06:22:18","06:38:59",
Bot14,"Maksim Petrov",20,Completed,"Sawmill Patrol","Sawmill Patrol: Objective #1","2","06:39:04","06:40:53",
Bot14,"Maksim Petrov",20,Failed,"Sawmill Patrol","Sawmill Patrol: Objective #2","2","06:40:58","06:51:12",
Bot14,"Maksim Petrov",20,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #3","1","06:49:48","06:49:48",
Bot14,"Maksim Petrov",20,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #2","2","06:49:53","06:50:05",
Bot14,"Maksim Petrov",20,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #1","2","06:50:10","06:50:20",
Bot14,"Maksim Petrov",20,Failed,"Sawmill Patrol","Sawmill Patrol: Objective #4","1","06:50:25","06:51:12",
Bot16,"snowythefox811",37,Failed,"Scav Town Sniping","Scav Town Sniping: Objective #3","1","06:22:18","06:47:08",
Bot29,"Альвиан Повидлыч (btdc00)",1,Pending,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","06:47:48","N/A",
Bot32,"Лёва Рожа (Devraccoon)",1,Pending,"Scav Base","Scav Base: Objective #4","1","06:51:34","N/A",
