Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot192,"Goewert",15,Completed,"Farming - Part 3","Item Package of graphics cards","1","22:51:51","22:52:21",
Bot192,"Goewert",15,Completed,"Farming - Part 3","Zone place_SADOVOD_03","1","22:52:27","22:52:51",
Bot192,"Goewert",15,Completed,"Delivery From the Past","Item Secure Folder 0022","1","22:52:56","22:52:57",
Bot192,"Goewert",15,Completed,"The Extortionist","Zone dead_posylni","1","22:53:02","22:58:20",
Bot192,"Goewert",15,Active,"The Extortionist","Item Secure Folder 0048","1","22:58:25","N/A",
Bot193,"savid_dubs",9,Failed,"The Extortionist","Zone vremyan_case","1","22:51:51","23:00:02",
Bot194,"XkaOnslaught",40,Completed,"Bullshit","Item Flash drive with fake info","1","22:52:02","22:52:47",
Bot194,"XkaOnslaught",40,Failed,"Bullshit","Zone Q019_3","1","22:52:52","22:53:38",
Bot195,"jennacide",68,Archived,"Dorms 2 Story","Dorms 2 Story: Objective #10","1","22:52:03","22:52:36",
Bot195,"jennacide",68,Archived,"Dorms 2 Story","Dorms 2 Story: Objective #8","1","22:52:42","22:52:46",
Bot195,"jennacide",68,Archived,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","22:52:51","22:53:21",
Bot195,"jennacide",68,Archived,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","22:53:26","22:54:23",
Bot195,"jennacide",68,Archived,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","22:54:28","22:54:38",
Bot195,"jennacide",68,Archived,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","22:54:43","22:54:54",
Bot195,"jennacide",68,Archived,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","22:55:00","22:55:09",
Bot195,"jennacide",68,Archived,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","22:55:14","22:55:54",
Bot195,"jennacide",68,Archived,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","22:55:59","22:56:08",
Bot195,"jennacide",68,Archived,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","22:56:16","22:56:36",
Bot195,"jennacide",68,Archived,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","22:56:41","22:57:19",
Bot195,"jennacide",68,Archived,"Short Cut","Short Cut: Objective #1","1","22:57:24","22:58:40",
Bot195,"jennacide",68,Archived,"Old Gas","Old Gas: Objective #2","1","22:58:45","23:05:00",
Bot195,"jennacide",68,Archived,"Old Gas","Old Gas: Objective #1","1","23:05:05","23:06:13",
Bot195,"jennacide",68,Archived,"Short Cut","Short Cut: Objective #1","1","23:06:19","23:06:58",
Bot195,"jennacide",68,Failed,"The Courier","Zone mech_41_2","1","23:07:03","23:07:38",
Bot195,"jennacide",68,Failed,"The Courier","Zone mech_41_1","1","23:07:39","23:08:04",
Bot195,"jennacide",68,Completed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","23:08:05","23:10:08",
Bot195,"jennacide",68,Completed,"Repair Shop","Repair Shop: Objective #1","1","23:10:13","23:10:30",
Bot195,"jennacide",68,Completed,"Repair Shop","Repair Shop: Objective #5","1","23:10:35","23:10:36",
Bot195,"jennacide",68,Completed,"Repair Shop","Repair Shop: Objective #4","1","23:10:42","23:10:47",
Bot195,"jennacide",68,Completed,"Repair Shop","Repair Shop: Objective #3","1","23:10:52","23:11:05",
Bot195,"jennacide",68,Completed,"Repair Shop","Repair Shop: Objective #9","1","23:11:10","23:11:53",
Bot195,"jennacide",68,Completed,"Repair Shop","Repair Shop: Objective #7","1","23:11:59","23:12:24",
Bot195,"jennacide",68,Completed,"Repair Shop","Repair Shop: Objective #2","1","23:12:29","23:12:30",
Bot195,"jennacide",68,Completed,"Repair Shop","Repair Shop: Objective #6","1","23:12:35","23:12:50",
Bot195,"jennacide",68,Completed,"Repair Shop","Repair Shop: Objective #8","1","23:12:55","23:13:10",
Bot195,"jennacide",68,Completed,"Old Gas","Old Gas: Objective #1","1","23:13:15","23:15:33",
Bot195,"jennacide",68,Completed,"Fortress","Fortress: Objective #5","1","23:15:38","23:19:43",
Bot195,"jennacide",68,Active,"Fortress","Fortress: Objective #7","1","23:19:48","N/A",
Bot200,"DocYen",45,Failed,"Bullshit","Item Flash drive with fake info","1","22:52:29","22:57:27",
Bot200,"DocYen",45,Completed,"Bullshit","Zone Q019_3","2","22:57:32","23:03:42",
Bot200,"DocYen",45,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #1","1","23:03:47","23:03:58",
Bot200,"DocYen",45,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #9","1","23:04:04","23:04:17",
Bot200,"DocYen",45,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","23:04:22","23:04:57",
Bot200,"DocYen",45,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","23:05:02","23:05:53",
Bot200,"DocYen",45,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #2","1","23:05:58","23:06:23",
Bot200,"DocYen",45,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #10","1","23:06:28","23:10:10",
Bot201,"Mako",65,Failed,"Marked Room Rush","Marked Room Rush: Objective #1","1","22:52:30","23:17:13",
Bot203,"aleves",7,Pending,"BP Depot","Zone fuel4","1","22:52:32","N/A",
Bot202,"GeorgRavioli",56,Failed,"Boss Hunter","Spawn Point (-335.6 0.3 -159.7)","1","22:52:33","22:59:45",
Bot202,"GeorgRavioli",56,Failed,"Boss Hunter","Spawn Point (-329.4 1.0 -211.1)","1","22:59:50","22:59:50",
Bot202,"GeorgRavioli",56,Failed,"Boss Hunter","Spawn Point (-179.4 1.4 -235.0)","1","22:59:55","22:59:55",
Bot202,"GeorgRavioli",56,Completed,"Boss Hunter","Spawn Point (-311.9 1.0 -125.0)","1","23:00:00","23:00:34",
Bot202,"GeorgRavioli",56,Completed,"Boss Hunter","Spawn Point (-333.8 -0.4 -84.5)","1","23:00:39","23:09:06",
Bot202,"GeorgRavioli",56,Completed,"Storage","Storage: Objective #4","1","23:09:11","23:10:12",
Bot202,"GeorgRavioli",56,Completed,"Storage","Storage: Objective #3","1","23:10:17","23:10:44",
Bot202,"GeorgRavioli",56,Completed,"Storage","Storage: Objective #2","1","23:10:49","23:11:00",
Bot202,"GeorgRavioli",56,Completed,"Storage","Storage: Objective #1","1","23:11:05","23:11:11",
Bot202,"GeorgRavioli",56,Failed,"Storage","Storage: Objective #5","1","23:11:16","23:16:08",
Bot202,"GeorgRavioli",56,Pending,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","23:16:13","N/A",
Bot202,"GeorgRavioli",56,Active,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","23:21:01","N/A",
Bot204,"dushaoan",51,Pending,"Big Red Rush","Big Red Rush: Objective #1","1","22:52:35","N/A",
Bot249,"Эдуард Кассир (Zurugula)",1,Failed,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","23:02:16","23:02:44",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Fortress","Fortress: Objective #5","1","23:05:00","23:05:49",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Fortress","Fortress: Objective #8","3","23:05:54","23:07:08",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Fortress","Fortress: Objective #1","1","23:07:13","23:07:23",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Fortress","Fortress: Objective #2","1","23:07:28","23:07:44",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Fortress","Fortress: Objective #3","1","23:07:49","23:07:58",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Fortress","Fortress: Objective #6","1","23:08:04","23:08:18",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Fortress","Fortress: Objective #9","4","23:08:23","23:09:21",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Fortress","Fortress: Objective #4","1","23:09:27","23:09:59",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Fortress","Fortress: Objective #7","1","23:10:04","23:10:22",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Crackhouse","Crackhouse: Objective #4","1","23:10:27","23:11:13",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Crackhouse","Crackhouse: Objective #1","1","23:11:18","23:11:46",
Bot260,"Максим Локализатор (Arokar)",1,Pending,"Crackhouse","Crackhouse: Objective #5","1","23:11:51","N/A",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Crackhouse","Crackhouse: Objective #2","1","23:12:30","23:12:40",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Crackhouse","Crackhouse: Objective #3","1","23:12:45","23:13:00",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Crackhouse","Crackhouse: Objective #7","1","23:13:05","23:13:18",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"Crackhouse","Crackhouse: Objective #6","2","23:13:24","23:13:52",
Bot260,"Максим Локализатор (Arokar)",1,Completed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","23:13:57","23:14:39",
Bot260,"Максим Локализатор (Arokar)",1,Active,"Big Red","Big Red: Objective #3","1","23:14:45","N/A",
Bot269,"Ашот Дикий (Gatsu66)",1,Active,"Old Gas","Old Gas: Objective #2","1","23:07:12","N/A",
Bot285,"Фёдор Месси (Tyrian)",1,Pending,"Fortress","Fortress: Objective #5","1","23:10:29","N/A",
Bot294,"Альвиан Верстак (蘑菇汤)",1,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #7","1","23:12:37","23:13:45",
Bot299,"Тимофей Бубеш (Oraceon)",1,Pending,"Fortress","Fortress: Objective #5","1","23:13:47","N/A",
Bot295,"Пися Тихий (DevilFlippy)",1,Pending,"Fortress","Fortress: Objective #5","1","23:13:55","N/A",
Bot295,"Пися Тихий (DevilFlippy)",1,Completed,"Fortress","Fortress: Objective #7","1","23:15:08","23:15:20",
Bot295,"Пися Тихий (DevilFlippy)",1,Completed,"Fortress","Fortress: Objective #4","1","23:15:25","23:15:49",
Bot295,"Пися Тихий (DevilFlippy)",1,Completed,"Fortress","Fortress: Objective #8","3","23:15:54","23:17:28",
Bot295,"Пися Тихий (DevilFlippy)",1,Completed,"Fortress","Fortress: Objective #2","1","23:17:33","23:18:13",
Bot295,"Пися Тихий (DevilFlippy)",1,Completed,"Fortress","Fortress: Objective #1","1","23:18:18","23:18:41",
Bot295,"Пися Тихий (DevilFlippy)",1,Completed,"Fortress","Fortress: Objective #9","4","23:18:46","23:19:45",
Bot295,"Пися Тихий (DevilFlippy)",1,Completed,"Fortress","Fortress: Objective #6","1","23:19:50","23:20:32",
Bot295,"Пися Тихий (DevilFlippy)",1,Completed,"Fortress","Fortress: Objective #3","1","23:20:37","23:20:51",
Bot295,"Пися Тихий (DevilFlippy)",1,Active,"Crackhouse","Crackhouse: Objective #4","1","23:20:56","N/A",
Bot303,"Митяй Повидлыч (kikirio)",1,Pending,"Big Red","Big Red: Objective #4","1","23:14:39","N/A",
Bot302,"Савва Живчик (Hicchy)",1,Failed,"Crackhouse","Crackhouse: Objective #7","1","23:14:42","23:17:50",
Bot305,"Шингис Академик (Borkel)",1,Pending,"Checkpoint","Checkpoint: Objective #1","1","23:14:55","N/A",
Bot308,"Деня Тайчин (Leonana69)",1,Completed,"Skeleton","Skeleton: Objective #1","1","23:15:55","23:16:37",
Bot308,"Деня Тайчин (Leonana69)",1,Completed,"Skeleton","Skeleton: Objective #2","1","23:16:43","23:17:02",
Bot308,"Деня Тайчин (Leonana69)",1,Completed,"Fortress","Fortress: Objective #3","1","23:17:07","23:18:14",
Bot308,"Деня Тайчин (Leonana69)",1,Completed,"Fortress","Fortress: Objective #2","1","23:18:19","23:19:03",
Bot308,"Деня Тайчин (Leonana69)",1,Completed,"Fortress","Fortress: Objective #1","1","23:19:08","23:19:31",
Bot308,"Деня Тайчин (Leonana69)",1,Completed,"Fortress","Fortress: Objective #8","3","23:19:36","23:20:32",
Bot308,"Деня Тайчин (Leonana69)",1,Failed,"Fortress","Fortress: Objective #4","1","23:20:37","23:20:50",
Bot309,"Ашот Оператор (R3)",1,Active,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","23:16:22","N/A",
Bot315,"Ричи Шиза (AcidPhantasm)",1,Active,"Checkpoint","Checkpoint: Objective #1","1","23:18:08","N/A",
Bot314,"Ярослав Сгущёнка (K4_a)",1,Completed,"Scav Checkpoint","Scav Checkpoint: Objective #1","1","23:18:12","23:18:18",
Bot321,"Сёма Фургон (Ratthew)",1,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","23:18:40","23:18:49",
Bot317,"Леха Везунчик (Paulov)",1,Active,"Warehouse 4","Warehouse 4: Objective #2","1","23:18:43","N/A",
Bot323,"Макар Патриарх (savid_dubs)",1,Completed,"Giving Tree","Giving Tree: Objective #1","1","23:19:44","23:19:58",
Bot326,"Терентий Вавилон (Grasyl)",1,Pending,"Fortress","Fortress: Objective #5","1","23:20:09","N/A",
Bot325,"Сергей Бокс (Colonel)",1,Pending,"New Gas","New Gas: Objective #1","1","23:20:11","N/A",
