Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot78,"Security-Sama",49,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","00:02:59","00:04:47",
Bot84,"Capataina",31,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","00:03:35","00:06:19",
Bot84,"Capataina",31,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","00:03:50","00:06:19",
Bot84,"Capataina",31,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","00:03:50","00:06:19",
Bot85,"Revingly",32,Completed,"Break Room","Break Room: Objective #1","1","00:03:36","00:03:47",
Bot86,"Pycak",35,Completed,"Break Room","Break Room: Objective #1","1","00:03:36","00:03:47",
Bot86,"Pycak",35,Completed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","00:06:19","00:06:45",
Bot86,"Pycak",35,Active,"3rd Floor Office","3rd Floor Office: Objective #1","1","00:06:50","N/A",
Bot89,"ThatGuyXIV",26,Completed,"Scout","Zone place_pacemaker_SCOUT_02","1","00:06:21","00:06:36",
Bot89,"ThatGuyXIV",26,Failed,"Scout","Zone place_pacemaker_SCOUT_03","1","00:06:41","00:07:35",
Bot99,"Gatsu66",42,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","00:12:44","00:15:48",
