Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot70,"Virtual",48,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","01:11:11","01:11:50",
Bot71,"gaylatea",51,Failed,"Admin Office","Admin Office: Objective #1","1","01:11:12","01:13:46",
Bot72,"Sanote",56,Completed,"Server Room Control Room","Server Room Control Room: Objective #1","3","01:11:13","01:12:07",
Bot72,"Sanote",56,Completed,"Boss Hunter","Spawn Point (-116.0 0.0 -336.4)","1","01:12:12","01:12:47",
Bot72,"Sanote",56,Completed,"Boss Hunter","Spawn Point (-116.4 0.0 -256.5)","1","01:12:52","01:13:38",
Bot72,"Sanote",56,Failed,"Boss Hunter","Spawn Point (-157.6 2.7 -222.8)","1","01:13:43","01:20:43",
Bot72,"Sanote",56,Completed,"Boss Hunter","Spawn Point (-206.3 1.5 -291.0)","1","01:14:29","01:14:52",
Bot72,"Sanote",56,Failed,"Boss Hunter","Spawn Point (-183.6 2.7 -227.1)","1","01:14:57","01:20:43",
Bot72,"Sanote",56,Completed,"Boss Hunter","Spawn Point (-199.4 4.1 -296.5)","1","01:15:34","01:15:58",
Bot72,"Sanote",56,Failed,"Boss Hunter","Spawn Point (-184.4 2.7 -222.8)","1","01:16:03","01:20:43",
Bot72,"Sanote",56,Failed,"Boss Hunter","Spawn Point (-207.1 4.2 -295.2)","1","01:17:44","01:20:43",
Bot73,"Hicchy",50,Completed,"Negotiation Room","Negotiation Room: Objective #1","1","01:11:33","01:12:26",
Bot73,"Hicchy",50,Failed,"Negotiation Room","Negotiation Room: Objective #2","1","01:12:31","01:13:01",
Bot74,"Lavax",32,Failed,"Negotiation Room","Negotiation Room: Objective #1","1","01:11:34","01:14:11",
